type,client,tx,amount
dispute,38714,436,
withdrawal,61144,1938,9880.23
chargeback,12313,353,
deposit,48350,1939,2369.44056462
resolve,31723,1036,
withdrawal,64181,1940,7485.654
dispute,44324,1873,
deposit,57437,1941,2132.441
resolve,16175,128,
chargeback,34176,616,
deposit,12984,1942,6254.094
chargeback,44639,1835,
dispute,24686,1754,
dispute,38019,127,
resolve,42096,232,
deposit,35304,1943,547.8709
dispute,45170,1875,
chargeback,39006,1722,
withdrawal,45164,1944,5013.5301622
resolve,23514,971,
deposit,4920,1945,4622.519001
withdrawal,59783,1946,4427.851
chargeback,8746,536,
withdrawal,7266,1947,339.283936
chargeback,10558,1716,
resolve,42219,1585,
withdrawal,62098,1948,4248.076
chargeback,44845,1473,
resolve,60830,1591,
resolve,14497,1519,
dispute,29496,489,
dispute,19596,1104,
resolve,60762,618,
deposit,37274,1949,4022.5446
chargeback,29642,1022,
dispute,18317,1577,
deposit,29928,1950,1478.94991952
deposit,1,2,10.0,extra
chargeback,44286,508,
chargeback,11513,1050,
withdrawal,54726,1951,7088.750
resolve,47742,1550,
dispute,49084,981,
dispute,5713,1435,
deposit,5195,1952,6341.33687
resolve,24074,1049,
resolve,34538,1470,
deposit,27232,1953,6960.0892
deposit,1,2,-50.0
withdrawal,48962,1954,2595.891
resolve,6045,1391,
chargeback,3421,1598,
withdrawal,52562,1955,956.34650007
withdrawal,47616,1956,1768.92604245
chargeback,30599,1105,
deposit,63995,1957,1696.959
withdrawal,34441,1958,4115.193685
resolve,42556,1329,
dispute,60753,1095,
chargeback,46651,1175,
resolve,31984,1334,
chargeback,43912,1292,
deposit,1,2,10.0,extra
resolve,42406,597,
dispute,30352,327,
withdrawal,19271,1959,583.36
chargeback,3072,1138,
deposit,45844,1960,6475.513234
resolve,31723,1036,
deposit,40417,1961,4157.0622327
dispute,54824,1628,
resolve,19072,1631,
chargeback,8059,744,
withdrawal,35013,1962,1979.23
dispute,14353,1573,
resolve,40429,1933,
deposit,63428,1963,2020.12303
deposit,45611,1964,5966.0973
chargeback,54723,1858,
resolve,2213,1553,
dispute,6304,438,
withdrawal,24856,1965,9666.3016505
chargeback,40085,853,
chargeback,32144,985,
resolve,24726,73,
chargeback,63233,173,
resolve,11534,977,
chargeback,3497,662,
deposit,31137,1966,9946.14714
resolve,63955,1405,
chargeback,13849,204,
withdrawal,51293,1967,8711.36
deposit,62408,1968,1327.620056
deposit,62331,1969,5978.130227
chargeback,45204,221,
withdrawal,34755,1970,2553.861991
withdrawal,abc,123,10.5
chargeback,17071,1508,
resolve,40652,1578,
chargeback,2948,1253,
dispute,32294,1494,
deposit,63762,1971,6696.97
withdrawal,3631,1972,4087.3967289
chargeback,2017,741,
chargeback,55968,266,
chargeback,1609,1265,
deposit,53251,1973,3742.72716370
chargeback,45204,221,
dispute,21384,161,
withdrawal,10363,1974,3778.86532722
withdrawal,13124,1975,9212.664
withdrawal,38393,1976,8296.077
dispute,43912,1292,
withdrawal,26427,1977,2082.9567072
dispute,43836,397,
chargeback,39045,1178,
chargeback,63738,96,
resolve,40674,728,
withdrawal,56896,1978,2905.0844
deposit,18991,1979,3306.0673
resolve,55136,1297,
withdrawal,63076,1980,2834.620
chargeback,52083,862,
dispute,45922,1587,
chargeback,59006,68,
deposit,62042,1981,6721.94
withdrawal,61698,1982,6176.304522
deposit,27203,1983,7874.3713099
withdrawal,50304,1984,5375.28
deposit,52517,1985,7027.67
withdrawal,25364,1986,4932.85849403
deposit,34803,1987,9163.976
deposit,13701,1988,4979.8639906
deposit,57809,1989,6558.355018
deposit,4728,1990,8896.06
resolve,43159,1330,
chargeback,62844,605,
withdrawal,26649,1991,4319.9236612
withdrawal,42573,1992,6405.30052
chargeback,58900,1626,
chargeback,15099,505,
deposit,15972,1993,5041.2441
deposit,58515,1994,2086.76
deposit,56027,1995,9629.844972
resolve,12068,1015,
deposit,35884,1996,6089.4435843
withdrawal,57067,1997,1520.88067
withdrawal,11875,1998,2166.119877
dispute,10677,1657,
dispute,38836,223,
withdrawal,63922,1999,6929.79081384
dispute,55096,1813,
deposit,834,2000,1877.7595724
resolve,34143,989,
resolve,26649,1991,
deposit,46722,2001,6657.2332
chargeback,30957,807,
resolve,53932,923,
withdrawal,48300,2002,6582.2795921
withdrawal,53016,2003,7019.0069
deposit,31654,2004,8939.39
dispute,52756,1103,
deposit,32869,2005,6246.72225
chargeback,46471,1836,
resolve,59922,287,
dispute,55729,1728,
dispute,16409,1472,
dispute,42120,584,
chargeback,10635,235,
withdrawal,27608,2006,8099.35815631
resolve,35673,1359,
deposit,5727,2007,5612.19793244
chargeback,65533,1404,
chargeback,21983,870,
dispute,17288,1427,
dispute,26024,828,
withdrawal,49809,2008,9219.96311
resolve,4885,1351,
dispute,40542,733,
deposit,17344,2009,6160.73298
chargeback,31654,2004,
deposit,47799,2010,6133.228199
dispute,32585,1161,
deposit,64611,2011,5428.25412868
resolve,36555,829,
dispute,45241,1917,
resolve,30058,203,
chargeback,55096,1813,
withdrawal,55611,2012,2523.35639
withdrawal,45982,2013,3642.3904765
withdrawal,54237,2014,2527.1569
deposit,44343,2015,358.72
chargeback,23321,1474,
withdrawal,43611,2016,758.5589
resolve,42433,745,
resolve,44718,1382,
dispute,29157,724,
deposit,20162,2017,1424.6084
resolve,2419,488,
resolve,16867,1646,
resolve,583,1647,
chargeback,11808,1048,
withdrawal,27589,2018,6973.46111051
dispute,26292,534,
deposit,27450,2019,1831.107975
dispute,11102,510,
dispute,27281,1425,
resolve,43065,1150,
resolve,4110,1399,
dispute,55569,210,
chargeback,64899,1142,
chargeback,180,1087,
withdrawal,15679,2020,8878.67218896
dispute,52484,245,
withdrawal,63985,2021,2783.992
withdrawal,35251,2022,4601.3972217
dispute,44286,508,
withdrawal,53900,2023,3001.20745669
dispute,12215,731,
deposit,56753,2024,877.580
withdrawal,22958,2025,9737.645
deposit,9402,2026,8861.082
dispute,40176,1217,
dispute,27099,1312,
dispute,1,2,10.0
chargeback,47191,881,
withdrawal,41983,2027,3059.0029107
dispute,8416,1310,
withdrawal,23966,2028,3754.20
dispute,37070,1619,
dispute,8719,545,
withdrawal,42151,2029,2324.51815796
chargeback,7361,57,
chargeback,9630,1331,
chargeback,11112,1117,
chargeback,8690,100,
resolve,21983,870,
deposit,7393,2030,2624.74
deposit,19530,2031,8085.79692861
dispute,64457,463,
deposit,56486,2032,9309.175
deposit,3875,2033,8199.45076
withdrawal,33805,2034,9536.5726
withdrawal,28055,2035,1511.8277895
withdrawal,28075,2036,3238.36
withdrawal,61799,2037,8734.9233
deposit,12863,2038,7082.301671
chargeback,61751,132,
chargeback,1810,664,
withdrawal,63001,2039,2335.8841542
deposit,41723,2040,438.552703
deposit,27718,2041,9863.4821
dispute,57308,1725,
chargeback,62583,875,
resolve,60097,108,
withdrawal,48579,2042,9418.90214
dispute,55794,581,
dispute,62015,884,
deposit,17162,2043,3454.6232099
deposit,26776,2044,5646.11
dispute,8044,551,
chargeback,37725,580,
deposit,51989,2045,6245.094
resolve,30201,104,
dispute,3858,1825,
dispute,34258,395,
resolve,29388,440,
resolve,28320,858,
resolve,57945,1202,
dispute,11112,1117,
deposit,46421,2046,6508.712221
resolve,49600,770,
dispute,14024,58,
withdrawal,29220,2047,364.1579
withdrawal,25406,2048,4678.780779
dispute,56934,624,
dispute,5356,215,
withdrawal,25959,2049,2690.818319
dispute,49050,1354,
dispute,1,2,10.0
withdrawal,20959,2050,4511.7256
resolve,39314,1530,
resolve,56233,1666,
deposit,48346,2051,7343.60615373
chargeback,21814,1032,
dispute,46271,1157,
chargeback,60580,854,
chargeback,15416,637,
deposit,17083,2052,7139.352
withdrawal,22222,2053,9324.9999
resolve,11740,31,
resolve,45376,1876,
chargeback,30140,1558,
dispute,36316,703,
dispute,51336,761,
resolve,63448,587,
dispute,41573,459,
dispute,4552,692,
resolve,17839,78,
deposit,27357,2054,9090.95
chargeback,36578,1475,
deposit,1,2,10.0,extra
chargeback,50544,711,
withdrawal,12576,2055,8615.404306
resolve,1029,300,
dispute,15585,1810,
dispute,38838,86,
resolve,41319,675,
chargeback,55152,1145,
resolve,51565,1433,
dispute,22093,303,
chargeback,39772,512,
chargeback,58522,1454,
withdrawal,64468,2056,7123.72
dispute,14092,1811,
chargeback,47335,1892,
resolve,11425,645,
chargeback,26382,504,
dispute,30140,764,
dispute,63762,1971,
deposit,5168,2057,3101.81550
chargeback,28075,2036,
resolve,45917,1055,
chargeback,30140,764,
dispute,30352,327,
dispute,48465,1547,
deposit,35674,2058,6021.70652
withdrawal,21780,2059,4575.0354
dispute,34945,1067,
withdrawal,4209,2060,9915.255
resolve,43694,320,
chargeback,53900,2023,
dispute,33135,1342,
dispute,62390,421,
chargeback,61175,434,
deposit,26171,2061,8311.7313292
chargeback,56787,477,
dispute,46454,376,
chargeback,36956,920,
deposit,20192,2062,4577.992604
deposit,28170,2063,6575.31688
deposit,28177,2064,1504.82
chargeback,19414,905,
deposit,25140,2065,7457.1405325
withdrawal,27078,2066,1317.433915
dispute,29323,1658,
deposit,40259,2067,1270.067856
withdrawal,49793,2068,458.4458471
resolve,15252,1614,
chargeback,45204,221,
resolve,63233,173,
resolve,63600,1842,
dispute,32612,1264,
resolve,22332,1191,
resolve,19271,1959,
resolve,13964,1011,
chargeback,19555,286,
resolve,38115,228,
dispute,49793,2068,
withdrawal,abc,123,10.5
chargeback,19829,442,
dispute,14975,677,
withdrawal,34916,2069,2360.17647683
chargeback,42325,606,
withdrawal,29284,2070,5386.05
chargeback,17921,704,
deposit,62154,2071,9075.34754
dispute,10838,60,
dispute,53625,1463,
resolve,26793,220,
chargeback,6146,1854,
chargeback,27417,1739,
chargeback,55829,1010,
chargeback,57570,126,
resolve,32314,1599,
withdrawal,12177,2072,1770.566841
resolve,52838,1563,
deposit,47221,2073,7935.93
chargeback,235,1295,
resolve,34526,1079,
withdrawal,27799,2074,4613.9785562
resolve,44237,919,
chargeback,62954,1696,
withdrawal,20352,2075,9590.8892
resolve,44799,1070,
resolve,12665,133,
deposit,27493,2076,3960.701
resolve,29642,1022,
resolve,52083,862,
deposit,24421,2077,576.3142772
deposit,38412,2078,9826.03682
chargeback,60759,1903,
resolve,9630,1331,
deposit,1,2,10.0,extra
deposit,42794,2079,8067.340412
withdrawal,57851,2080,6148.287825
withdrawal,55518,2081,938.861
withdrawal,1301,2082,8840.527
withdrawal,22127,2083,275.9036
resolve,19597,1147,
dispute,44673,1381,
dispute,15603,817,
deposit,16033,2084,4054.178
chargeback,6146,1854,
deposit,16482,2085,4099.15
deposit,64440,2086,6416.443816
deposit,1,2,10.0,extra
resolve,7393,2030,
withdrawal,61517,2087,8147.8437649
withdrawal,63622,2088,8548.20
dispute,12134,1837,
withdrawal,59709,2089,2409.15
withdrawal,54937,2090,2660.302387
deposit,56094,2091,2053.977
dispute,62833,541,
dispute,34105,1927,
deposit,17024,2092,9314.14
withdrawal,53523,2093,6854.08202951
resolve,16648,1798,
deposit,61294,2094,5714.72771
withdrawal,26710,2095,5668.58651
resolve,37653,446,
withdrawal,25120,2096,8749.11732
dispute,42096,232,
withdrawal,54251,2097,2770.372
resolve,58705,1681,
dispute,19560,780,
deposit,44012,2098,7466.02
deposit,50213,2099,987.16472
withdrawal,2775,2100,775.27707
dispute,26793,220,
dispute,60909,1792,
resolve,15039,136,
dispute,40085,853,
deposit,63717,2101,5174.86581
deposit,53010,2102,154.329
dispute,36185,1340,
resolve,58819,112,
withdrawal,abc,123,10.5
resolve,38454,1461,
deposit,44574,2103,9552.830268
deposit,45417,2104,8274.05984679
withdrawal,abc,123,10.5
dispute,47799,2010,
deposit,59374,2105,8813.6622
dispute,33042,527,
chargeback,49809,2008,
deposit,55647,2106,6673.34601462
resolve,3072,1138,
deposit,31062,2107,2330.28465
resolve,34176,616,
withdrawal,23960,2108,3779.31754163
dispute,1,2,10.0
withdrawal,41727,2109,1774.24617580
deposit,32211,2110,8940.7538566
chargeback,60086,688,
resolve,39327,1521,
deposit,11500,2111,1989.280
resolve,44718,1382,
deposit,20224,2112,3287.848
deposit,42134,2113,5619.06
dispute,61021,428,
chargeback,57533,850,
deposit,21046,2114,1609.25
chargeback,32661,485,
withdrawal,26185,2115,967.24587789
dispute,10635,235,
resolve,20784,1752,
withdrawal,25817,2116,8859.38893
deposit,29681,2117,5082.6017
resolve,23992,1327,
resolve,29730,1467,
chargeback,32437,88,
chargeback,28177,2064,
withdrawal,43191,2118,8891.17
resolve,36772,1820,
deposit,16999,2119,7264.2805330
withdrawal,5928,2120,6779.830
resolve,53904,1896,
chargeback,29508,193,
withdrawal,63754,2121,952.742
withdrawal,48523,2122,2310.6412835
resolve,4201,1170,
dispute,32540,398,
dispute,19116,1617,
dispute,17675,1859,
dispute,50425,1308,
chargeback,62881,1125,
withdrawal,24655,2123,1532.822651
deposit,55475,2124,7745.8917831
chargeback,29284,2070,
withdrawal,24175,2125,5986.892
withdrawal,11314,2126,1231.935617
chargeback,21157,1339,
dispute,43187,175,
chargeback,40993,699,
deposit,61850,2127,8980.294075
resolve,33571,573,
withdrawal,11248,2128,8845.695267
resolve,13835,1004,
chargeback,19594,1823,
chargeback,45892,1560,
chargeback,35065,278,
withdrawal,48184,2129,5638.92354
deposit,51952,2130,9105.08022
withdrawal,31459,2131,3425.28663292
withdrawal,3464,2132,9797.89
withdrawal,51620,2133,8846.9131493
deposit,10913,2134,9907.71989
dispute,17986,1380,
withdrawal,49752,2135,3299.66696148
deposit,39669,2136,3467.6620979
withdrawal,60944,2137,6126.24860995
dispute,48886,1446,
withdrawal,13941,2138,2822.55776252
chargeback,33571,573,
withdrawal,44294,2139,4017.70716
resolve,34729,1442,
dispute,64946,144,
withdrawal,45209,2140,3253.8670578
deposit,1401,2141,5806.47214940
withdrawal,60654,2142,7162.80901951
dispute,47907,1914,
dispute,1754,1928,
withdrawal,26413,2143,4277.77
resolve,15039,136,
withdrawal,10930,2144,2529.013
deposit,8776,2145,9639.662
dispute,56696,1492,
dispute,25320,1715,
chargeback,16482,2085,
withdrawal,39386,2146,9002.0908751
deposit,37239,2147,1374.65
deposit,1,2,-50.0
chargeback,40674,728,
chargeback,25396,1651,
chargeback,33881,1686,
deposit,16827,2148,4486.25196
resolve,24244,418,
dispute,52935,380,
withdrawal,34270,2149,3491.4859
withdrawal,63794,2150,1170.59
dispute,25270,1368,
chargeback,38872,1323,
chargeback,22222,2053,
chargeback,28956,1215,
dispute,14350,1582,
dispute,10287,105,
chargeback,34270,2149,
deposit,9074,2151,1851.9223898
dispute,46049,855,
resolve,15088,556,
resolve,49963,1268,
deposit,39491,2152,9096.22365510
resolve,31654,2004,
resolve,7003,1788,
deposit,1,2,-50.0
deposit,11384,2153,4312.5496395
chargeback,27266,1934,
withdrawal,4310,2154,6940.974
resolve,31946,174,
resolve,17019,980,
deposit,17653,2155,7418.92144659
chargeback,15252,1614,
dispute,21721,1146,
withdrawal,44035,2156,9054.668
deposit,63309,2157,9206.502583
resolve,55611,2012,
resolve,48132,1309,
withdrawal,36015,2158,620.703938
resolve,37794,1905,
deposit,60681,2159,3820.92362
dispute,54251,2097,
withdrawal,48722,2160,884.043
withdrawal,12958,2161,1674.6761362
chargeback,43251,719,
withdrawal,47411,2162,3899.424
chargeback,12309,1153,
dispute,28260,54,
chargeback,8380,627,
dispute,778,1289,
withdrawal,38389,2163,6874.117
chargeback,21669,233,
dispute,1754,1928,
deposit,962,2164,8658.8169
resolve,17904,1197,
deposit,16095,2165,6348.03
chargeback,4310,2154,
chargeback,64091,12,
deposit,16060,2166,4316.418
withdrawal,20181,2167,1216.41004
resolve,44899,1516,
resolve,16527,861,
dispute,10916,152,
dispute,38071,810,
chargeback,18639,1077,
resolve,25939,413,
dispute,49838,249,
dispute,16852,1776,
dispute,20933,1458,
chargeback,59374,2105,
chargeback,45043,1622,
chargeback,37567,1110,
chargeback,41858,1261,
resolve,2795,176,
deposit,49054,2168,6106.05
withdrawal,24497,2169,9640.73
deposit,55247,2170,5299.99
withdrawal,23020,2171,9699.465
dispute,13900,212,
dispute,3656,1861,
resolve,32152,1069,
deposit,14710,2172,3116.29
withdrawal,13755,2173,5468.67026101
chargeback,63233,173,
dispute,11112,1117,
chargeback,23592,143,
deposit,16908,2174,8872.7968880
dispute,16874,915,
withdrawal,41392,2175,3328.87467602
resolve,24574,251,
deposit
chargeback,29323,1658,
withdrawal,2991,2176,1761.35698
resolve,54824,1628,
withdrawal,33223,2177,8596.58324
dispute,31743,678,
deposit,38235,2178,9201.7501
chargeback,25270,1368,
dispute,59955,456,
deposit,63868,2179,2649.5592583
deposit,36012,2180,8353.806
withdrawal,25806,2181,5880.11635
chargeback,24697,1030,
chargeback,42528,765,
resolve,36183,705,
dispute,40108,762,
chargeback,17411,503,
randomtype,1,2,5.0
dispute,7266,1947,
withdrawal,abc,123,10.5
randomtype,1,2,5.0
deposit,20240,2182,69.92170042
resolve,63309,2157,
dispute,64611,2011,
chargeback,37535,1083,
withdrawal,29602,2183,2135.77879213
withdrawal,24329,2184,8393.95455
deposit,1,2,10.0,extra
deposit,762,2185,3745.06
resolve,26710,2095,
chargeback,5059,1592,
chargeback,14604,1269,
resolve,2948,1253,
withdrawal,63775,2186,2421.67106384
dispute,8746,536,
dispute,56707,41,
chargeback,13176,1609,
resolve,28202,648,
withdrawal,18858,2187,4904.738
chargeback,26912,1106,
chargeback,235,1295,
withdrawal,7103,2188,7022.8260793
deposit,64852,2189,9845.08300
chargeback,48523,2122,
deposit,36567,2190,1299.039248
chargeback,51646,1607,
dispute,60753,1095,
deposit,55802,2191,1884.86234
chargeback,24805,201,
randomtype,1,2,5.0
deposit,18189,2192,6566.46
dispute,26731,1720,
withdrawal,45969,2193,2948.7579064
deposit,2202,2194,4817.60775553
deposit,63991,2195,6293.227876
resolve,28991,1708,
withdrawal,39342,2196,6518.5118
chargeback,26427,1977,
deposit,42018,2197,3684.2860436
dispute,27321,1624,
deposit,39743,2198,1445.78
deposit,59184,2199,2159.991697
deposit,19610,2200,7562.0198326
dispute,17630,961,
deposit,48013,2201,7917.4231459
chargeback,59013,621,
chargeback,36654,839,
dispute,34760,491,
resolve,36012,2180,
resolve,36956,920,
chargeback,44328,1528,
dispute,35795,642,
resolve,10082,402,
withdrawal,5712,2202,2268.842571
chargeback,25932,1802,
withdrawal,65437,2203,3474.5099
deposit,63638,2204,3164.329
chargeback,2077,813,
resolve,5291,903,
resolve,36578,1475,
chargeback,26956,860,
dispute,63754,2121,
withdrawal,22297,2205,8434.1295544
dispute,29659,681,
resolve,49807,1469,
chargeback,21021,1184,
deposit,54697,2206,5705.716
deposit,7145,2207,2646.344
chargeback,52086,1186,
withdrawal,45240,2208,3675.56479369
deposit,39826,2209,5282.22310896
withdrawal,50068,2210,3881.4326814
resolve,60097,108,
deposit,45754,2211,1349.1420
resolve,28826,18,
withdrawal,13594,2212,5023.3993139
withdrawal,33459,2213,7742.65396783
deposit,55141,2214,6064.31
dispute,61559,1173,
withdrawal,abc,123,10.5
dispute,36012,2180,
chargeback,40273,39,
withdrawal,49844,2215,6371.41968467
dispute,30214,13,
resolve,3253,1843,
chargeback,20005,756,
chargeback,60909,1792,
deposit,65155,2216,6255.7348766
chargeback,19099,848,
resolve,1396,864,
chargeback,4514,138,
resolve,4812,469,
withdrawal,27545,2217,7553.87761403
deposit,57967,2218,7382.12
dispute,18442,532,
resolve,2578,954,
chargeback,47989,500,
deposit,479,2219,5425.25778
chargeback,51390,1152,
withdrawal,30065,2220,470.89867
dispute,47616,1956,
dispute,15603,817,
resolve,43585,1120,
chargeback,59746,1318,
deposit,64274,2221,5867.4558671
withdrawal,31214,2222,3055.6337
withdrawal,24789,2223,8045.3505
deposit,18424,2224,2232.1988
chargeback,36185,1340,
deposit,21679,2225,3652.07075
resolve,47916,269,
resolve,24697,1030,
withdrawal,57176,2226,7696.175253
chargeback,40537,45,
resolve,15620,1486,
chargeback,10401,1101,
deposit,37279,2227,2886.011
deposit,31272,2228,1641.42672482
dispute,29194,1194,
withdrawal,54967,2229,9434.7995
deposit,22774,2230,5977.33826325
dispute,2200,1384,
deposit,12326,2231,9091.451821
resolve,39352,1593,
deposit,35661,2232,5600.57410
withdrawal,33777,2233,5223.758
withdrawal,21570,2234,1076.375
dispute,35522,1,
chargeback,53523,2093,
resolve,42176,142,
deposit,31244,2235,9460.945
resolve,38928,674,
resolve,11329,1043,
chargeback,37241,596,
chargeback,34760,491,
deposit,34668,2236,7851.743971
chargeback,3246,354,
deposit,61996,2237,2727.10239
randomtype,1,2,5.0
dispute,19707,1102,
dispute,32367,857,
resolve,12878,1290,
deposit,63582,2238,3443.21562209
deposit,562,2239,7674.612
deposit,36044,2240,6439.23
resolve,46265,1801,
chargeback,42120,584,
resolve,12326,2231,
dispute,25885,261,
dispute,47167,164,
dispute,57533,850,
deposit,61538,2241,1141.62499240
dispute,4201,1170,
chargeback,52404,1033,
deposit,61559,2242,9225.86868388
chargeback,10930,2144,
dispute,12521,1097,
withdrawal,13071,2243,8239.9332800
chargeback,28118,1313,
withdrawal,20074,2244,3647.421811
resolve,24579,1378,
deposit,15784,2245,1044.73476868
withdrawal,33507,2246,8480.47
withdrawal,44288,2247,6623.1784
dispute,3481,614,
withdrawal,39588,2248,8275.5225
withdrawal,37119,2249,4836.6379
deposit,38015,2250,58.566684
withdrawal,63447,2251,2726.89
chargeback,35522,1,
withdrawal,3370,2252,1092.94
dispute,4992,763,
deposit,17428,2253,1767.92495092
resolve,28260,54,
deposit,43631,2254,9536.03702209
withdrawal,56864,2255,8152.51536
dispute,3630,113,
resolve,13935,547,
resolve,28170,2063,
chargeback,4319,608,
deposit,355,2256,5244.6274
resolve,18914,172,
withdrawal,52115,2257,1436.18555
dispute,45754,2211,
resolve,22242,1118,
deposit,36652,2258,5700.474629
deposit,53899,2259,4218.81
chargeback,24758,1237,
dispute,32959,752,
dispute,16111,1131,
deposit,24141,2260,9651.038274
withdrawal,53105,2261,1028.589
withdrawal,24149,2262,8290.275
chargeback,58900,1626,
chargeback,36165,1812,
chargeback,55373,1081,
deposit,62584,2263,446.7976753
deposit,21589,2264,7673.3208725
chargeback,41101,1428,
resolve,53625,1463,
chargeback,24074,1049,
deposit,23822,2265,4098.772835
resolve,31987,1210,
withdrawal,29555,2266,6320.92
chargeback,58245,218,
withdrawal,12371,2267,5813.042
withdrawal,11638,2268,3962.80
chargeback,56707,41,
chargeback,24175,2125,
deposit,44948,2269,1818.396
withdrawal,29849,2270,8053.55707
chargeback,59783,1946,
dispute,34221,1852,
chargeback,12588,293,
deposit,36447,2271,9784.92147162
resolve,31574,1685,
resolve,39723,1293,
resolve,58173,1038,
chargeback,52484,245,
withdrawal,41317,2272,9236.4295959
dispute,32959,752,
deposit,17553,2273,8013.98238
deposit,17076,2274,571.7347600
chargeback,47742,1550,
dispute,25806,2181,
deposit,21328,2275,5937.15
deposit,30540,2276,9508.4621
dispute,61651,996,
deposit,25251,2277,5557.73
dispute,27012,1691,
withdrawal,62344,2278,230.03249
chargeback,17554,1200,
dispute,355,2256,
chargeback,38928,674,
resolve,48421,291,
chargeback,41573,459,
withdrawal,65143,2279,7709.460
dispute,1882,91,
resolve,59374,2105,
deposit
deposit,15063,2280,3314.018307
chargeback,12326,2231,
deposit,27521,2281,5176.7395
resolve,31057,304,
chargeback,29545,1344,
resolve,40314,1743,
deposit,54611,2282,9314.3800645
dispute,21607,887,
deposit,24739,2283,747.3429
dispute,41495,1568,
chargeback,29471,967,
chargeback,12451,19,
chargeback,34760,491,
resolve,45393,1499,
withdrawal,9634,2284,4761.75284
dispute,16455,997,
dispute,22084,696,
deposit,64921,2285,2632.71
chargeback,39538,1023,
dispute,60580,854,
resolve,51565,1433,
dispute,27203,1316,
dispute,50796,1395,
chargeback,37361,1569,
withdrawal,28200,2286,6108.046
resolve,50098,51,
withdrawal,49499,2287,6080.505874
chargeback,64496,1707,
withdrawal,27479,2288,5276.3660100
resolve,38928,674,
withdrawal,21852,2289,2703.21877707
dispute,1,2,10.0
dispute,27060,1465,
chargeback,12053,1082,
resolve,3246,354,
dispute,57533,850,
dispute,19813,1660,
withdrawal,14738,2290,1548.66397083
resolve,11314,2126,
dispute,31230,487,
resolve,26060,781,
chargeback,55569,210,
resolve,2578,954,
dispute,18956,292,
chargeback,29863,1400,
chargeback,56907,521,
dispute,23553,328,
withdrawal,57006,2291,113.744
resolve,2874,516,
chargeback,12576,2055,
resolve,64037,466,
withdrawal,34161,2292,3875.503381
chargeback,51620,2133,
resolve,26009,820,
withdrawal,56778,2293,6534.33607
resolve,35005,22,
withdrawal,57296,2294,4193.15
deposit,18810,2295,4171.581
dispute,13936,890,
deposit,44197,2296,1396.853
resolve,55978,700,
withdrawal,49235,2297,9067.3634
dispute,8776,898,
resolve,21307,122,
chargeback,43592,1014,
resolve,1427,275,
dispute,31741,1680,
deposit,41867,2298,6717.14067920
resolve,49318,979,
deposit,5611,2299,9819.04917291
chargeback,3580,930,
withdrawal,43123,2300,8437.927757
chargeback,47703,873,
dispute,19530,2031,
withdrawal,50780,2301,6651.750091
resolve,8132,736,
withdrawal,23973,2302,3236.19
chargeback,40341,1695,
withdrawal,9697,2303,2715.67295737
deposit,40619,2304,797.730364
dispute,55496,697,
withdrawal,40569,2305,7178.56151663
resolve,51784,1116,
resolve,32661,485,
resolve,38412,2078,
deposit,24084,2306,2504.4103
chargeback,22274,689,
dispute,26059,1426,
deposit,26358,2307,1310.62962
deposit,52006,2308,5831.8587
resolve,17727,617,
withdrawal,6427,2309,8361.63447
deposit,58253,2310,1375.268312
withdrawal,38609,2311,7451.1705452
resolve,4384,1420,
dispute,62344,2278,
chargeback,24737,743,
withdrawal,20369,2312,4453.984
withdrawal,21446,2313,6435.5499
dispute,51818,1296,
withdrawal,52987,2314,9303.931644
resolve,59824,804,
resolve,36759,1107,
deposit,26974,2315,2431.06
resolve,35102,1924,
resolve,17299,507,
dispute,47007,1890,
dispute,33034,600,
chargeback,25040,182,
deposit,34565,2316,7125.125
resolve,47320,1884,
withdrawal,48157,2317,3876.69
dispute,3875,2033,
chargeback,30309,869,
withdrawal,1466,2318,8355.092
deposit,9967,2319,7373.35276
deposit,10949,2320,1536.57520
dispute,24166,1889,
dispute,13090,263,
withdrawal,46607,2321,1873.62929478
dispute,48579,2042,
dispute,1,2,10.0
chargeback,28114,9,
chargeback,48151,1575,
withdrawal,17989,2322,7402.0180
dispute,56170,1671,
withdrawal,29742,2323,3000.4884631
deposit
randomtype,1,2,5.0
resolve,40878,1371,
chargeback,39677,783,
chargeback,34526,1079,
withdrawal,7768,2324,7448.802425
deposit,65039,2325,9010.41925425
resolve,54611,2282,
chargeback,37460,1409,
chargeback,2130,290,
dispute,26176,970,
withdrawal,43393,2326,3257.67251
deposit,48241,2327,9863.5094
dispute,53021,356,
resolve,5866,1900,
chargeback,57767,1894,
deposit,18301,2328,6778.535557
dispute,37851,892,
deposit,49814,2329,9242.3499365
resolve,59557,1234,
resolve,39804,478,
chargeback,29220,809,
deposit,15555,2330,2595.09
withdrawal,34522,2331,6418.36
chargeback,55829,1010,
dispute,37119,2249,
dispute,57173,1799,
withdrawal,4309,2332,8871.220303
dispute,2043,1500,
chargeback,50578,654,
dispute,65155,2216,
dispute,12340,665,
chargeback,60736,709,
dispute,31209,871,
chargeback,24175,2125,
dispute,26272,1482,
dispute,40371,632,
withdrawal,35413,2333,2547.52
dispute,37550,630,
resolve,53010,2102,
resolve,17572,1549,
chargeback,62390,421,
resolve,14273,1232,
chargeback,61366,1413,
withdrawal,13438,2334,1823.978836
withdrawal,abc,123,10.5
dispute,44589,1724,
resolve,51604,74,
chargeback,45209,2140,
dispute,63076,1980,
dispute,53706,1126,
resolve,19897,509,
resolve,6574,1233,
